,"Cor(METAL,ENERGY)","Cor(METAL,AGRICULTURAL)","Cor(ENERGY,AGRICULTURAL)"
1/04/1991,0.744834,0.573718,0.171265
1/07/1991,0.755443,0.557642,0.161098
1/08/1991,0.717991,0.543576,0.178955
1/09/1991,0.701271,0.534046,0.181901
1/10/1991,0.717904,0.531753,0.184995
1/11/1991,0.734230,0.522252,0.183521
1/14/1991,0.743137,0.503134,0.187958
1/15/1991,0.705038,0.491000,0.168750
1/16/1991,0.712122,0.477140,0.169635
1/17/1991,0.713853,0.473412,0.178482
1/18/1991,0.496200,0.318691,-0.016286
1/21/1991,0.502638,0.319736,-0.012062
1/22/1991,0.511807,0.317897,-0.015273
1/23/1991,0.498041,0.320821,-0.020017
1/24/1991,0.500123,0.318811,-0.013795
1/25/1991,0.449729,0.283803,-0.013255
1/28/1991,0.439244,0.291961,-0.014287
1/29/1991,0.449922,0.294886,-0.012900
1/30/1991,0.460607,0.291278,-0.014588
1/31/1991,0.460701,0.294351,-0.009919
2/01/1991,0.470986,0.290849,-0.010595
2/04/1991,0.477772,0.291716,-0.010403
2/05/1991,0.488719,0.267576,-0.013077
2/06/1991,0.496254,0.271859,-0.011549
2/07/1991,0.498693,0.269458,-0.009385
2/08/1991,0.494862,0.233354,-0.008045
2/11/1991,0.483142,0.263511,-0.005273
2/12/1991,0.464759,0.260430,-0.005654
2/13/1991,0.473430,0.264290,-0.006284
2/14/1991,0.473391,0.274308,-0.012528
2/15/1991,0.471839,0.280671,-0.020774
2/20/1991,0.474129,0.280177,-0.017515
2/21/1991,0.481036,0.283709,-0.018353
2/22/1991,0.482573,0.298406,0.015662
2/25/1991,0.479829,0.312088,0.022537
2/26/1991,0.482865,0.307273,0.023672
2/27/1991,0.491287,0.313819,0.030312
2/28/1991,0.495096,0.292283,0.025869
3/01/1991,0.459090,0.326216,0.044255
3/04/1991,0.468646,0.326278,0.046685
3/05/1991,0.468399,0.327915,0.049606
3/06/1991,0.464871,0.280070,0.050357
3/07/1991,0.463509,0.286069,0.043664
3/08/1991,0.459778,0.287164,0.044417
3/11/1991,0.404486,0.248345,0.046637
3/12/1991,0.410559,0.267832,0.057626
3/13/1991,0.376354,0.242348,0.070002
3/14/1991,0.380414,0.241612,0.070127
3/15/1991,0.389164,0.237969,0.071093
3/18/1991,0.357954,0.228486,0.093040
3/19/1991,0.350272,0.234419,0.098052
3/20/1991,0.357809,0.226828,0.088360
3/21/1991,0.366413,0.220403,0.083746
3/22/1991,0.375020,0.226240,0.090043
3/25/1991,0.383672,0.237565,0.099627
3/26/1991,0.388121,0.251253,0.108108
3/27/1991,0.391767,0.248300,0.112309
3/28/1991,0.398837,0.243775,0.105591
4/03/1991,0.389967,0.220781,0.107399
4/04/1991,0.380997,0.177574,0.110174
4/05/1991,0.382976,0.180210,0.104934
4/08/1991,0.363902,0.136928,0.104955
4/09/1991,0.372375,0.142964,0.109504
4/10/1991,0.373175,0.138734,0.113143
4/11/1991,0.373018,0.141223,0.107669
4/12/1991,0.377626,0.144786,0.110836
4/15/1991,0.379763,0.150463,0.118202
4/16/1991,0.367379,0.162340,0.112967
4/17/1991,0.355118,0.166290,0.110861
4/18/1991,0.344830,0.122080,0.109571
4/19/1991,0.355204,0.129334,0.114156
4/22/1991,0.359604,0.137262,0.118032
4/23/1991,0.367686,0.138547,0.119051
4/24/1991,0.373681,0.141698,0.117253
4/25/1991,0.380359,0.129420,0.112893
4/26/1991,0.368849,0.136661,0.113346
4/29/1991,0.373884,0.133648,0.115807
4/30/1991,0.376647,0.145010,0.116722
5/01/1991,0.361417,0.155172,0.113175
5/02/1991,0.359587,0.159001,0.114994
5/03/1991,0.365059,0.162457,0.118381
